[2019-01-18 16:16:35,959860] admin.INFO  [NULL] [47a87fe0] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/, 10.240.0.64, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:36,367079] admin.INFO  [9325fc51] [47a87fe0] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /html/admin/, 10.240.0.64, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:36,368030] admin.INFO  [9325fc51] [47a87fe0] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /html/admin/, 10.240.0.64, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:49,688324] admin.INFO  [NULL] [dd4c7250] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:49,783409] admin.INFO  [9325fc51] [dd4c7250] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:49,784257] admin.INFO  [9325fc51] [dd4c7250] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,287057] admin.INFO  [NULL] [122e6b67] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /html/admin/login_check, 10.240.0.213, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,341474] admin.INFO  [c5eec425] [122e6b67] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_login_check"]  [POST, /html/admin/login_check, 10.240.0.213, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,342847] admin.INFO  [c5eec425] [122e6b67] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_login_check"]  [POST, /html/admin/login_check, 10.240.0.213, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,756635] admin.INFO  [NULL] [ec1a586d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,789272] admin.INFO  [c5eec425] [ec1a586d] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_homepage"]  [GET, /html/admin/, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:55,823672] admin.INFO  [c5eec425] [ec1a586d] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_homepage"]  [GET, /html/admin/, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:56,177308] admin.INFO  [c5eec425] [ec1a586d] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_homepage"]  [GET, /html/admin/, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:59:56,181261] admin.INFO  [c5eec425] [ec1a586d] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_homepage"]  [GET, /html/admin/, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:02,672077] admin.INFO  [NULL] [33945bb8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:02,704614] admin.INFO  [c5eec425] [33945bb8] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:02,740452] admin.INFO  [c5eec425] [33945bb8] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:02,822073] admin.INFO  [c5eec425] [33945bb8] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:02,825043] admin.INFO  [c5eec425] [33945bb8] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,146122] admin.INFO  [NULL] [8876e2e7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,176882] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,208711] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,250005] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,260147] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
