[2018-10-25 00:01:39,788891] eccube.ERROR [NULL] [eec9401a] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /admin/plugin/plugin/snslogin/hello" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /admin/plugin/plugin/snslogin/hello\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/admin/plugin/plugin/snslogin/hello\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/admin/plugin/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:01:39,801017] eccube.INFO  [e6148bc0] [eec9401a] [NULL] [LogListener:logResponse:96] - < 404   [GET, /html/admin/plugin/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:01:43,012407] eccube.ERROR [NULL] [04642c24] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /admin/plugin/snslogin/hello" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /admin/plugin/snslogin/hello\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/admin/plugin/snslogin/hello\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/admin/plugin/snslogin/hello, 10.240.1.65, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:01:43,020793] eccube.INFO  [e6148bc0] [04642c24] [NULL] [LogListener:logResponse:96] - < 404   [GET, /html/admin/plugin/snslogin/hello, 10.240.1.65, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:02:00,980773] eccube.INFO  [NULL] [7821db58] [NULL] [RouterListener:onKernelRequest:146] - Matched route "plugin_SnsLogin_hello". {"route_parameters":{"_controller":"Plugin\\SnsLogin\\Controller\\SnsLoginController::index","_route":"plugin_SnsLogin_hello"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/plugin/snslogin/hello"}  [GET, /html/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:02:00,982815] eccube.INFO  [e6148bc0] [7821db58] [NULL] [AnonymousAuthenticationListener:handle:62] - Populated the TokenStorage with an anonymous Token.   [GET, /html/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:02:00,984807] eccube.INFO  [e6148bc0] [7821db58] [NULL] [LogListener:logRequest:83] - > GET /html/plugin/snslogin/hello   [GET, /html/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 00:02:01,132891] eccube.INFO  [e6148bc0] [7821db58] [NULL] [LogListener:logResponse:96] - < 200   [GET, /html/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 10:27:58,494857] eccube.INFO  [NULL] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:58,503712] eccube.INFO  [NULL] [a87389c5] [NULL] [AnonymousAuthenticationListener:handle:62] - Populated the TokenStorage with an anonymous Token.   [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:58,507410] eccube.INFO  [d648d11c] [a87389c5] [NULL] [LogListener:logRequest:83] - > GET /html/   [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:58,892537] eccube.INFO  [d648d11c] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/cart"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:58,947765] eccube.INFO  [d648d11c] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/search_product"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:59,877811] eccube.INFO  [d648d11c] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/login"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:59,897541] eccube.INFO  [d648d11c] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_category". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CategoryController::index","_route":"block_category"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/category"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:27:59,944860] eccube.INFO  [d648d11c] [a87389c5] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_news". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\NewsController::index","_route":"block_news"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/news"}  [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:00,019958] eccube.INFO  [d648d11c] [a87389c5] [NULL] [LogListener:logResponse:96] - < 200   [GET, /html/, 10.240.1.191, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:12,923715] eccube.ERROR [NULL] [7b2c938a] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /amdin" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /amdin\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/amdin\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/amdin, 10.240.1.65, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
