[2019-01-18 16:15:08,023252] eccube.ERROR [NULL] [b1be0283] [NULL] [Application:checkDatabaseConnection:998] - An exception occured in driver: SQLSTATE[HY000] [2002] Connection refused   [GET, /html/admin, 10.240.1.30, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:15:15,800392] eccube.ERROR [NULL] [3080ec81] [NULL] [Application:checkDatabaseConnection:998] - An exception occured in driver: SQLSTATE[HY000] [2002] Connection refused   [GET, /html/admin, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:15:27,814545] eccube.ERROR [NULL] [c335e206] [NULL] [Application:checkDatabaseConnection:998] - An exception occured in driver: SQLSTATE[HY000] [2002] Connection refused   [GET, /html/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:00,904066] eccube.ERROR [NULL] [f9617717] [NULL] [Application:checkDatabaseConnection:998] - An exception occured in driver: SQLSTATE[HY000] [2002] Connection refused   [GET, /html/admin, 10.240.1.30, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:29,612392] eccube.INFO  [NULL] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:29,616850] eccube.INFO  [NULL] [8d671ee9] [NULL] [AnonymousAuthenticationListener:handle:62] - Populated the TokenStorage with an anonymous Token.   [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:29,619103] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [LogListener:logRequest:83] - > GET /html/   [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:29,762956] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/cart"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:29,775943] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/search_product"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:30,040011] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/login"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:30,046560] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_category". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CategoryController::index","_route":"block_category"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/category"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:30,061954] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [RouterListener:onKernelRequest:146] - Matched route "block_news". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\NewsController::index","_route":"block_news"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/block/news"}  [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:30,089180] eccube.INFO  [9325fc51] [8d671ee9] [NULL] [LogListener:logResponse:96] - < 200   [GET, /html/, 10.240.0.64, https://ec-cute-kaku87.c9users.io/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 16:16:35,628497] eccube.INFO  [NULL] [51b2233b] [NULL] [RouterListener:onKernelRequest:146] - Matched route "n/a". {"route_parameters":{"_controller":"[object] (Closure: {})","_route":null,"url":"/html/admin/"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin"}  [GET, /html/admin, 10.240.0.213, NULL, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
